ID,Name,Address,Geolocation,Latitude,Longitude,Tags,A tester,Restaurant,Café ,Bistrot,Bar,Bière,Vin,Thaïlandais,Pâtisserie,Ramen,Vietnamien,Street food,Sri Lankais,Pizza,Italien,Mexicain,Méditerranéen,Glace,Fromage,Laotien,Latino,Japonais,Indien,Bistronomique,Espagnol,Gastro,Bouillon,Asiatique,Boulangerie,Brunch,Coréen,Chinois,Cocktail,Crêpe,Burger,Dessert,Libanais,Végé,British,Pub,Brasserie,Nouille,Musique,Vegan,Katsu,Traiteur,Cidre,Grec,Cookie,Marché,Boutique,Description
,@unrêve,"28 Ave Parmentier, 75011 Paris","https://www.google.com/maps/place/'@unr%C3%AAve'/@48.8606506,2.3786125,17z/data=!3m1!4b1!4m6!3m5!1s0x47e66d741d07d49d:0x54e872d6ff376263!8m2!3d48.8606506!4d2.3786125!16s%2Fg%2F11qg7q34z6!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",48.8606506,2.3786125,"Café , Pâtisserie, Brunch",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,21G Dumpling,"167 Rue du Faubourg Saint-Antoine, 75011 Paris","https://www.google.com/maps/place/21G+Dumpling/@48.850597,2.380291,16z/data=!3m1!4b1!4m6!3m5!1s0x47e67208d4f6aab9:0xea1ad6e4d5215f89!8m2!3d48.850597!4d2.380291!16s%2Fg%2F11dxfnh193!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",48.850597,2.380291,"Restaurant, Asiatique, Chinois",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,228 Litres,"3 Rue Victor Massé, 75009 Paris, France","https://www.google.com/maps/place/228+Litres/@48.880442,2.337132,17z/data=!4m15!1m8!3m7!1s0x47e66e46bedd1e4d:0x837d35a6f6bd3c37!2s3+Rue+Victor+Mass%C3%A9,+75009+Paris!3b1!8m2!3d48.880442!4d2.3397123!16s%2Fg%2F11b8v6rhl1!3m5!1s0x47e66f75ac7c03a3:0x85aa9468a7bba75!8m2!3d48.8804646!4d2.339825!16s%2Fg%2F11fhl9lq90!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDExOS4wIKXMDSoASAFQAw%3D%3D",48.880442,2.337132,"Restaurant, Bar, Vin",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Carte des vins au top, cuisine géniale avec des cuisiniers saisonniers : parfait"
,Comice,"31 Av. de Versailles, 75016 Paris","https://www.google.com/maps/place/Comice/@48.8494471,2.2658468,15z/data=!4m15!1m8!3m7!1s0x47e67aa82f51f7a3:0xcda788b451b9237c!2s31+Av.+de+Versailles,+75016+Paris!3b1!8m2!3d48.8494476!4d2.2761465!16s%2Fg%2F11rp396y9p!3m5!1s0x47e67aa8257ace01:0x32221ab254c84b3d!8m2!3d48.8494621!4d2.2760438!16s%2Fg%2F11f03_h3st?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoASAFQAw%3D%3D",48.8494471,2.2658468,"A tester, Restaurant, Gastro",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Semi gastronomique avec des tapas
par Yoshi Saada (top chef + récompensé jeune Gault & Millaut) 
Ambiance chic décontracté, gastro"
,57 grains Coffee Shop,"57 Rue du Mont-Cenis, 75018 Paris","https://www.google.com/maps/place/57+grains+Coffee+Shop/@48.8905438,2.3407332,17z/data=!3m2!4b1!5s0x47e66e5c3e726f95:0xea7574c579942794!4m6!3m5!1s0x47e66f64e640eedb:0x177ad1396f7e978c!8m2!3d48.8905438!4d2.3433135!16s%2Fg%2F11y5pccvlw!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",48.8905438,2.3407332,Café ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,A Cantina - Comptoir corse,"14 Rue des Bahutiers, 33000 Bordeaux, France","https://www.google.com/maps/place/A+Cantina+Comptoir+Corse/@44.8392055,-0.5808019,15z/data=!4m15!1m8!3m7!1s0xd5527ce2d8fa161:0xeab09b644e2a0cf8!2s14+Rue+des+Bahutiers,+33000+Bordeaux!3b1!8m2!3d44.839206!4d-0.5705022!16s%2Fg%2F11bw4497f9!3m5!1s0xd5527ce3273d333:0x74986589b582dbd4!8m2!3d44.8392284!4d-0.5704871!16s%2Fg%2F1hc4396vj?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoASAFQAw%3D%3D",44.8392055,-0.5808019,"A tester, Restaurant, Bar",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bar à tapas et restaurant à l’étage qui a l’air top avec pas mal de monde 
,A la bière comme à la bière,"20 Rue Custine, 75018 Paris, France","https://www.google.com/maps/place/A+la+bi%C3%A8re+comme+%C3%A0+la+bi%C3%A8re/@48.8886365,2.3095859,14z/data=!4m10!1m2!2m1!1zQSBsYSBiacOocmUgY29tbWUgw6AgbGEgYmnDqHJl!3m6!1s0x47e66e6784674483:0x260d89d9978f639!8m2!3d48.8886365!4d2.3476947!15sCh5BIGxhIGJpw6hyZSBjb21tZSDDoCBsYSBiacOocmUiA4gBAVogIh5hIGxhIGJpw6hyZSBjb21tZSDDoCBsYSBiacOocmWSAQpiZWVyX3N0b3Jl4AEA!16s%2Fg%2F1ptyjpwwn!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",48.8886365,2.3095859,"A tester, Bar, Bière",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bar avec des centaines de références du monde entier + ventes bouteilles et cannettes 
,A la bière comme à la bière,"353 Rue des Pyrénées, 75020 Paris, France","https://www.google.com/maps/place/A+la+bi%C3%A8re+comme+%C3%A0+la+bi%C3%A8re/@48.8723097,2.3531071,14z/data=!4m10!1m2!2m1!1zQSBsYSBiacOocmUgY29tbWUgw6AgbGEgYmnDqHJl!3m6!1s0x47e66d94ce00e497:0x7696641472140dc6!8m2!3d48.8723097!4d2.3912159!15sCh5BIGxhIGJpw6hyZSBjb21tZSDDoCBsYSBiacOocmUiA4gBAVogIh5hIGxhIGJpw6hyZSBjb21tZSDDoCBsYSBiacOocmWSAQliZWVyX2hhbGzgAQA!16s%2Fg%2F11b6z_w44j!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",48.8723097,2.3531071,"A tester, Bar, Bière",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bar avec des centaines de références du monde entier + ventes bouteilles et cannettes 
,A la bière comme à la bière - Le Drunken,"19 Rue Girard, 93100 Montreuil, France","https://www.google.com/maps/place/A+la+bi%C3%A8re+comme+%C3%A0+la+bi%C3%A8re+-+Le+Drunken/@48.857202,2.4313907,17z/data=!4m15!1m8!3m7!1s0x47e66d608898c35b:0x5f78071fa19276d3!2s19+Rue+Girard,+93100+Montreuil!3b1!8m2!3d48.857202!4d2.433971!16s%2Fg%2F11c22zxyz9!3m5!1s0x47e66d608898c35b:0x1d4756666ffde9bc!8m2!3d48.8571248!4d2.4338166!16s%2Fg%2F11bzrlbjy7!5m1!1e4?entry=ttu&g_ep=EgoyMDI2MDExOS4wIKXMDSoASAFQAw%3D%3D",48.857202,2.4313907,"A tester, Bar, Bière, Brasserie",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bar avec des centaines de références du monde entier + ventes bouteilles et cannettes 
,A LA GAITE,"19 Rue Ducis, 78000 Versailles, France","https://www.google.com/maps/place/A+La+Gait%C3%A9/@48.8073964,2.121119,15z/data=!4m15!1m8!3m7!1s0x47e67db1084c4d6d:0xe3128dcb9f206df8!2s19+Rue+Ducis,+78000+Versailles!3b1!8m2!3d48.8073969!4d2.1314187!16s%2Fg%2F11b8v6z5qm!3m5!1s0x47e67d587c2a57eb:0xe8aa675403e91559!8m2!3d48.8073969!4d2.1314187!16s%2Fg%2F11sh5x39pq?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoASAFQAw%3D%3D",48.8073964,2.121119,Bar,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pour les lycéens versaillais 
Et l'irish coffee n'est pas bon "
